monitoring_location_id,time,parameter_code,parameter_name,value,unit_of_measure,statistic_id,approval_status
USGS-01357500,2024-10-31,00060,,4920,ft^3/s,00003,Approved
USGS-01357500,2024-11-02,00060,,2700,ft^3/s,00003,Approved
USGS-01357500,2024-11-03,00060,,1600,ft^3/s,00003,Approved
USGS-01357500,2024-11-04,00060,,1290,ft^3/s,00003,Approved
USGS-01357500,2024-11-05,00060,,1420,ft^3/s,00003,Approved
USGS-01357500,2024-11-06,00060,,2670,ft^3/s,00003,Approved
USGS-01357500,2024-11-09,00060,,1380,ft^3/s,00003,Approved
USGS-01357500,2024-11-11,00060,,1500,ft^3/s,00003,Approved
USGS-01357500,2024-11-13,00060,,2590,ft^3/s,00003,Approved
USGS-01357500,2024-11-14,00060,,1710,ft^3/s,00003,Approved
USGS-01357500,2024-11-16,00060,,1550,ft^3/s,00003,Approved
USGS-01357500,2024-11-17,00060,,1220,ft^3/s,00003,Approved
USGS-01357500,2024-11-18,00060,,1120,ft^3/s,00003,Approved
USGS-01357500,2024-11-19,00060,,1290,ft^3/s,00003,Approved
USGS-01357500,2024-11-20,00060,,1230,ft^3/s,00003,Approved
USGS-01357500,2024-11-21,00060,,1670,ft^3/s,00003,Approved
USGS-01357500,2024-11-23,00060,,6390,ft^3/s,00003,Approved
USGS-01357500,2024-11-26,00060,,4430,ft^3/s,00003,Approved
USGS-01357500,2024-11-27,00060,,5260,ft^3/s,00003,Approved
USGS-01357500,2024-11-29,00060,,5330,ft^3/s,00003,Approved
USGS-01357500,2024-11-30,00060,,6130,ft^3/s,00003,Approved
USGS-01357500,2024-12-02,00060,,3990,ft^3/s,00003,Approved
USGS-01357500,2024-12-03,00060,,4010,ft^3/s,00003,Approved
USGS-01357500,2024-12-04,00060,,2940,ft^3/s,00003,Approved
USGS-01357500,2024-12-05,00060,,2860,ft^3/s,00003,Approved
USGS-01357500,2024-12-06,00060,,2750,ft^3/s,00003,Approved
USGS-01357500,2024-12-07,00060,,3090,ft^3/s,00003,Approved
USGS-01357500,2024-12-08,00060,,3060,ft^3/s,00003,Approved
USGS-01357500,2024-12-09,00060,,3590,ft^3/s,00003,Approved
USGS-01357500,2024-12-10,00060,,6300,ft^3/s,00003,Approved
USGS-01357500,2024-12-12,00060,,40200,ft^3/s,00003,Approved
USGS-01357500,2024-12-13,00060,,22700,ft^3/s,00003,Approved
USGS-01357500,2024-12-14,00060,,13900,ft^3/s,00003,Approved
USGS-01357500,2024-12-15,00060,,9240,ft^3/s,00003,Approved
USGS-01357500,2024-12-17,00060,,6730,ft^3/s,00003,Approved
USGS-01357500,2024-12-18,00060,,9270,ft^3/s,00003,Approved
USGS-01357500,2024-12-19,00060,,12300,ft^3/s,00003,Approved
USGS-01357500,2024-12-20,00060,,11500,ft^3/s,00003,Approved
USGS-01357500,2024-12-22,00060,,7370,ft^3/s,00003,Approved
USGS-01357500,2024-12-24,00060,,5300,ft^3/s,00003,Approved
USGS-01357500,2024-12-25,00060,,5690,ft^3/s,00003,Approved
USGS-01357500,2024-12-26,00060,,4730,ft^3/s,00003,Approved
USGS-01357500,2024-12-27,00060,,3920,ft^3/s,00003,Approved
USGS-01357500,2024-12-28,00060,,4000,ft^3/s,00003,Approved
USGS-01357500,2024-12-30,00060,,5640,ft^3/s,00003,Approved
USGS-01358000,2024-01-01,00060,,20200,ft^3/s,00003,Approved
USGS-01358000,2024-01-02,00060,,17600,ft^3/s,00003,Approved
USGS-01358000,2024-01-04,00060,,16300,ft^3/s,00003,Approved
USGS-01358000,2024-01-05,00060,,15600,ft^3/s,00003,Approved
USGS-01358000,2024-01-06,00060,,13800,ft^3/s,00003,Approved
USGS-01358000,2024-01-07,00060,,17000,ft^3/s,00003,Approved
USGS-01358000,2024-01-08,00060,,13400,ft^3/s,00003,Approved
USGS-01358000,2024-01-10,00060,,25400,ft^3/s,00003,Approved
USGS-01358000,2024-01-11,00060,,38000,ft^3/s,00003,Approved
USGS-01358000,2024-01-12,00060,,30900,ft^3/s,00003,Approved
USGS-01358000,2024-01-14,00060,,37500,ft^3/s,00003,Approved
USGS-01358000,2024-01-15,00060,,30500,ft^3/s,00003,Approved
USGS-01358000,2024-01-18,00060,,20800,ft^3/s,00003,Approved
USGS-01358000,2024-01-20,00060,,20000,ft^3/s,00003,Approved
USGS-01358000,2024-01-23,00060,,16300,ft^3/s,00003,Approved
USGS-01358000,2024-01-25,00060,,20700,ft^3/s,00003,Approved
USGS-01358000,2024-01-27,00060,,65700,ft^3/s,00003,Approved
USGS-01358000,2024-01-28,00060,,46200,ft^3/s,00003,Approved
USGS-01358000,2024-01-29,00060,,38900,ft^3/s,00003,Approved
USGS-01358000,2024-01-30,00060,,31700,ft^3/s,00003,Approved
USGS-01358000,2024-01-31,00060,,27100,ft^3/s,00003,Approved
USGS-01358000,2024-02-01,00060,,26400,ft^3/s,00003,Approved
USGS-01358000,2024-02-04,00060,,23600,ft^3/s,00003,Approved
USGS-01358000,2024-02-05,00060,,21900,ft^3/s,00003,Approved
USGS-01358000,2024-02-07,00060,,20100,ft^3/s,00003,Approved
USGS-01358000,2024-02-09,00060,,18000,ft^3/s,00003,Approved
USGS-01358000,2024-02-11,00060,,18800,ft^3/s,00003,Approved
USGS-01358000,2024-02-12,00060,,20000,ft^3/s,00003,Approved
USGS-01358000,2024-02-13,00060,,19300,ft^3/s,00003,Approved
USGS-01358000,2024-02-15,00060,,17200,ft^3/s,00003,Approved
USGS-01358000,2024-02-16,00060,,17000,ft^3/s,00003,Approved
USGS-01358000,2024-02-21,00060,,14500,ft^3/s,00003,Approved
USGS-01358000,2024-02-22,00060,,14500,ft^3/s,00003,Approved
USGS-01358000,2024-02-25,00060,,14700,ft^3/s,00003,Approved
USGS-01358000,2024-02-26,00060,,14100,ft^3/s,00003,Approved
USGS-01358000,2024-02-27,00060,,14600,ft^3/s,00003,Approved
USGS-01358000,2024-02-28,00060,,16100,ft^3/s,00003,Approved
USGS-01358000,2024-02-29,00060,,19600,ft^3/s,00003,Approved
USGS-01358000,2024-03-01,00060,,21000,ft^3/s,00003,Approved
USGS-01358000,2024-03-03,00060,,24000,ft^3/s,00003,Approved
USGS-01358000,2024-03-05,00060,,26200,ft^3/s,00003,Approved
USGS-01358000,2024-03-08,00060,,66000,ft^3/s,00003,Approved
USGS-01358000,2024-03-09,00060,,45600,ft^3/s,00003,Approved
USGS-01358000,2024-03-10,00060,,57400,ft^3/s,00003,Approved
